Rank,Chart_Name,Notebook,Chart_Type,Primary_Category,Sub_Category,Finding_Description,Impact,Clarity,Data_Quality,Novelty,Visual_Appeal,TOTAL_SCORE,Tier,Use_For_2_Pager,File_Path
1,finding1_graduation_gap.png,analysis.ipynb,Horizontal Bar,Conversion Rates,Country Comparison,Seed→Series A conversion: NL 6.2% vs Israel 21% vs USA 16%,5,5,5,4,5,24,Tier 1,YES,figures/finding1_graduation_gap.png
2,finding2_rounds_matter.png,analysis.ipynb,Grouped Bar,Outcomes,Rounds Analysis,Companies with 4+ rounds have 3x higher acquisition rates,5,5,5,4,5,24,Tier 1,YES,figures/finding2_rounds_matter.png
3,finding3_tortoise_effect.png,analysis.ipynb,Grouped Bar,Timing,Country Comparison,Rushing (<2yr) = 2% exit vs Patient (5+yr) = 12% exit,5,5,4,5,5,24,Tier 1,YES,figures/finding3_tortoise_effect.png
4,sq1_1b_funding_funnel.png,policy_analysis.ipynb,Line/Funnel,Stage Progression,Country Comparison,NL loses companies at every stage - Valley of Death visual,5,5,5,3,5,23,Tier 1,MAYBE,figures/sq1_1b_funding_funnel.png
5,survival_funnel.png,deep_dive_4_survival.ipynb,Line/Funnel,Stage Progression,Country Comparison,Survival funnel by country showing Valley of Death,5,5,5,3,5,23,Tier 1,NO,legacy/task-1-analysis/figures/deep_dive_4/survival_funnel.png
6,sq1_2b_timing_outcomes.png,policy_analysis.ipynb,Grouped Bar,Timing,Country Comparison,Patience pays off - exit rates by timing of first funding,5,5,4,4,4,22,Tier 1,NO,figures/sq1_2b_timing_outcomes.png
7,conversion_rates.png,deep_dive_4_survival.ipynb,Grouped Bar,Conversion Rates,Country Comparison,Stage-to-stage conversion rates (Seed→A A→B B→Exit),5,5,5,3,4,22,Tier 1,NO,legacy/task-1-analysis/figures/deep_dive_4/conversion_rates.png
8,timing_vs_outcomes.png,deep_dive_1_timing.ipynb,Grouped Bar,Timing,Country Comparison,Patient companies have better outcomes across all countries,4,5,4,4,4,21,Tier 1,NO,legacy/task-1-analysis/figures/deep_dive_1/timing_vs_outcomes.png
9,part0_strengths.png,policy_analysis.ipynb,3-Panel Bar,Strengths,Country Comparison,What NL does well: low failure rate high operating rate seed availability,4,5,5,3,4,21,Tier 1,NO,figures/part0_strengths.png
10,sq1_1a_success_scorecard.png,policy_analysis.ipynb,3-Panel Bar,Outcomes,Country Comparison,Exit rate Seed→A conversion failure rate by country,4,5,5,3,4,21,Tier 1,NO,figures/sq1_1a_success_scorecard.png
11,rounds_vs_survival.png,deep_dive_4_survival.ipynb,Grouped Bar,Outcomes,Rounds Analysis,More rounds = better survival (NL vs USA comparison),4,5,5,3,3,20,Tier 2,NO,legacy/task-1-analysis/figures/deep_dive_4/rounds_vs_survival.png
12,sq1_2c_avg_rounds.png,policy_analysis.ipynb,Horizontal Bar,Funding Patterns,Country Comparison,Dutch companies complete fewer funding rounds (1.46 vs 1.86),4,5,5,2,4,20,Tier 2,NO,figures/sq1_2c_avg_rounds.png
13,sq2_priority_ranking.png,policy_analysis.ipynb,Horizontal Bar,Policy,Recommendations,Policy priority ranking by expected impact,4,5,3,3,5,20,Tier 2,NO,figures/sq2_priority_ranking.png
14,diversity_vs_outcomes.png,deep_dive_3_investor_concentration.ipynb,Bar,Investor Mix,Funding Type,More diverse funding = better outcomes (exit vs failure),4,4,4,4,4,20,Tier 2,NO,legacy/task-1-analysis/figures/deep_dive_3/diversity_vs_outcomes.png
15,finding7_funding_comparison.png,analysis.ipynb,2-Panel Bar,Funding Patterns,Country Comparison,Total VC funding and funding intensity by country,3,5,5,2,4,19,Tier 2,NO,figures/finding7_funding_comparison.png
16,sq1_2a_round_sizes.png,policy_analysis.ipynb,3-Panel Bar,Funding Patterns,Country Comparison,Median Seed Series A Series B round sizes by country,3,5,5,2,4,19,Tier 2,NO,figures/sq1_2a_round_sizes.png
17,nl_timing_impact.png,deep_dive_1_timing.ipynb,2-Panel Bar,Timing,NL Specific,Dutch companies that wait longer have better outcomes,4,4,4,3,4,19,Tier 2,NO,legacy/task-1-analysis/figures/deep_dive_1/nl_timing_impact.png
18,living_dead.png,deep_dive_4_survival.ipynb,Horizontal Bar,Outcomes,Country Comparison,Living Dead rate - operating but stuck at 1 round,4,4,4,4,3,19,Tier 2,NO,legacy/task-1-analysis/figures/deep_dive_4/living_dead.png
19,funding_by_country.png,deep_dive_2_funding_patterns.ipynb,3-Panel Bar,Funding Patterns,Country Comparison,Mean median and per-round funding by country,3,5,5,2,4,19,Tier 2,NO,legacy/task-1-analysis/figures/deep_dive_2/funding_by_country.png
20,sq1_3_sector_gap.png,policy_analysis.ipynb,Horizontal Bar,Sector Analysis,Industry Type,Dutch sector performance vs USA (exit rate difference),3,4,4,3,4,18,Tier 2,NO,figures/sq1_3_sector_gap.png
21,sq1_3c_sector_conversion.png,policy_analysis.ipynb,Horizontal Bar,Conversion Rates,Industry Type,Dutch Seed→A conversion by sector,3,4,3,3,4,17,Tier 2,NO,figures/sq1_3c_sector_conversion.png
22,funding_type_by_country.png,deep_dive_3_investor_concentration.ipynb,Grouped Bar,Investor Mix,Funding Type,Funding type usage by country (seed venture angel grant),3,4,4,3,3,17,Tier 2,NO,legacy/task-1-analysis/figures/deep_dive_3/funding_type_by_country.png
23,status_by_country.png,deep_dive_4_survival.ipynb,Stacked Bar,Outcomes,Country Comparison,Company status distribution by country,3,4,5,2,3,17,Tier 2,NO,legacy/task-1-analysis/figures/deep_dive_4/status_by_country.png
24,funding_diversity_by_country.png,deep_dive_3_investor_concentration.ipynb,Horizontal Bar,Investor Mix,Country Comparison,Funding type diversity score by country,3,4,4,3,3,17,Tier 2,NO,legacy/task-1-analysis/figures/deep_dive_3/funding_diversity_by_country.png
25,finding8_time_series_trends.png,analysis.ipynb,4-Panel,Time Series,Trends Over Time,NL deal count total funding avg deal size EU market share,3,3,4,2,5,17,Tier 2,NO,figures/finding8_time_series_trends.png
26,time_between_rounds.png,deep_dive_1_timing.ipynb,Horizontal Bar,Timing,Country Comparison,Time between funding rounds by country,3,4,4,2,3,16,Tier 3,NO,legacy/task-1-analysis/figures/deep_dive_1/time_between_rounds.png
27,velocity_vs_outcomes.png,deep_dive_1_timing.ipynb,Grouped Bar,Timing,Country Comparison,Funding velocity (rounds/year) vs outcomes,3,3,3,3,4,16,Tier 3,NO,legacy/task-1-analysis/figures/deep_dive_1/velocity_vs_outcomes.png
28,nl_sector_funding_vs_exits.png,deep_dive_2_funding_patterns.ipynb,Scatter/Bubble,Sector Analysis,NL Specific,NL sectors: funding amount vs exit rate scatter,3,3,3,3,4,16,Tier 3,NO,legacy/task-1-analysis/figures/deep_dive_2/nl_sector_funding_vs_exits.png
29,finding8b_sector_trends.png,analysis.ipynb,2-Panel Area,Sector Analysis,Time Series,NL sector composition over time and growth rates,2,4,4,2,4,16,Tier 3,NO,figures/finding8b_sector_trends.png
30,angel_vs_venture.png,deep_dive_3_investor_concentration.ipynb,2-Panel,Investor Mix,Funding Type,Angel vs venture funding usage and ratio analysis,3,3,3,3,3,15,Tier 3,NO,legacy/task-1-analysis/figures/deep_dive_3/angel_vs_venture.png
31,nl_sector_survival.png,deep_dive_4_survival.ipynb,H-Bar Paired,Sector Analysis,NL Specific,NL sector survival: exit vs failure rates,3,3,3,3,3,15,Tier 3,NO,legacy/task-1-analysis/figures/deep_dive_4/nl_sector_survival.png
32,sq2_policy_matrix.png,policy_analysis.ipynb,Table,Policy,Recommendations,Policy recommendations matrix with evidence and models,3,4,2,2,4,15,Tier 3,NO,figures/sq2_policy_matrix.png
33,finding5_regional_nl.png,analysis.ipynb,2-Panel H-Bar,Geographic,NL Specific,Regional differences within NL (no significant effect),2,4,3,3,3,15,Tier 3,NO,figures/finding5_regional_nl.png
34,nl_geographic_funding.png,deep_dive_2_funding_patterns.ipynb,2-Panel Bar,Geographic,NL Specific,Funding by Dutch city and province,2,4,4,2,3,15,Tier 3,NO,legacy/task-1-analysis/figures/deep_dive_2/nl_geographic_funding.png
35,nl_diversity_outcomes.png,deep_dive_3_investor_concentration.ipynb,Bar,Investor Mix,NL Specific,NL: more funding diversity = better outcomes,3,3,3,2,3,14,Tier 3,NO,legacy/task-1-analysis/figures/deep_dive_3/nl_diversity_outcomes.png
36,nl_vc_investment_by_industry_year.png,analysis.ipynb,Grouped Bar,Sector Analysis,Time Series,Netherlands VC investment by industry over years 2005-2014,2,3,4,2,3,14,Tier 3,NO,figures/nl_vc_investment_by_industry_year.png
37,finding4_international_timeline.png,analysis.ipynb,Timeline,Policy,Historical,International policy timeline (Yozma EIS SEIS SEEDS),2,4,2,2,4,14,Tier 3,NO,figures/finding4_international_timeline.png
38,funding_sector_country_heatmap.png,deep_dive_2_funding_patterns.ipynb,Heatmap,Funding Patterns,Industry Type,Mean funding by sector and country heatmap,2,3,4,2,3,14,Tier 3,NO,legacy/task-1-analysis/figures/deep_dive_2/funding_sector_country_heatmap.png
39,time_to_first_distribution.png,deep_dive_1_timing.ipynb,6-Panel Hist,Timing,EDA Distribution,Distribution of years to first funding by country,2,3,4,2,3,14,Tier 3,NO,legacy/task-1-analysis/figures/deep_dive_1/time_to_first_distribution.png
40,correlation_heatmap.png,distributions_eda.ipynb,Heatmap,EDA,Correlation,Correlation matrix: funding variables vs outcomes,2,3,4,2,3,14,Tier 3,NO,legacy/task-1-analysis/figures/distributions/correlation_heatmap.png
41,funding_distributions.png,distributions_eda.ipynb,4-Panel,Funding Patterns,EDA Distribution,Global and NL funding amount distributions,2,3,4,1,3,13,Tier 4,NO,legacy/task-1-analysis/figures/distributions/funding_distributions.png
42,sector_distribution.png,distributions_eda.ipynb,2-Panel Bar,Sector Analysis,EDA Distribution,Top sectors globally and in Netherlands,2,3,4,1,3,13,Tier 4,NO,legacy/task-1-analysis/figures/distributions/sector_distribution.png
43,round_size_distributions.png,distributions_eda.ipynb,4-Panel,Funding Patterns,EDA Distribution,Distribution of Seed A B C round sizes,2,3,4,1,3,13,Tier 4,NO,legacy/task-1-analysis/figures/distributions/round_size_distributions.png
44,timing_distributions.png,distributions_eda.ipynb,4-Panel,Timing,EDA Distribution,Time to funding and rounds distributions,2,3,4,1,3,13,Tier 4,NO,legacy/task-1-analysis/figures/distributions/timing_distributions.png
45,status_distributions.png,distributions_eda.ipynb,2-Panel,Outcomes,EDA Distribution,Global company status distribution,2,3,4,1,3,13,Tier 4,NO,legacy/task-1-analysis/figures/distributions/status_distributions.png
46,country_distribution.png,distributions_eda.ipynb,Bar + Pie,Geographic,EDA Distribution,Company count by country distribution,1,4,4,1,3,13,Tier 4,NO,legacy/task-1-analysis/figures/distributions/country_distribution.png
47,nl_city_distribution.png,distributions_eda.ipynb,Horizontal Bar,Geographic,EDA Distribution,Dutch startups by city distribution,1,4,4,1,3,13,Tier 4,NO,legacy/task-1-analysis/figures/distributions/nl_city_distribution.png
48,sector_by_country.png,distributions_eda.ipynb,3-Panel,Sector Analysis,EDA Distribution,Sector distribution NL vs USA vs Israel,1,3,4,1,3,12,Tier 4,NO,legacy/task-1-analysis/figures/distributions/sector_by_country.png
49,year_distributions.png,distributions_eda.ipynb,2-Panel,Time Series,EDA Distribution,Founding year and funding year distributions,1,3,4,1,3,12,Tier 4,NO,legacy/task-1-analysis/figures/distributions/year_distributions.png
50,funding_type_distributions.png,distributions_eda.ipynb,4-Panel,Investor Mix,EDA Distribution,Funding type usage distributions,1,3,4,1,3,12,Tier 4,NO,legacy/task-1-analysis/figures/distributions/funding_type_distributions.png
51,nl_sector_exit_rates.png,distributions_eda.ipynb,Horizontal Bar,Sector Analysis,EDA Distribution,NL exit rate by sector (n>=5),1,3,3,1,3,11,Tier 4,NO,legacy/task-1-analysis/figures/distributions/nl_sector_exit_rates.png
